query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	2.75e-05	3	26	3	0.115	1	HP:0006316	hp	79	Irregularly spaced teeth	1	COL1A1,COL5A1,COL5A2
1	TRUE	2.75e-05	3	26	3	0.115	1	HP:0025014	hp	62	Subcutaneous spheroids	1	COL1A1,COL5A1,COL5A2
1	TRUE	3.16e-05	558	18	8	0.444	0.014	GO:0042060	BP	30	wound healing	1	FAP,COL1A1,LOX,SPARC,FN1,POSTN,COL1A2,COL3A1
1	TRUE	3.33e-05	112	6	4	0.667	0.036	GO:0004222	MF	52	metalloendopeptidase activity	1	FAP,ADAMTS2,ADAM12,ADAMTS12
1	TRUE	4.09e-05	1588	18	11	0.611	0.007	GO:0009719	BP	23	response to endogenous stimulus	1	NOX4,COL1A1,LOX,SPARC,INHBA,POSTN,SULF1,ADAMTS12,COL1A2,COL3A1,COL5A2
1	TRUE	6.39e-05	18	16	4	0.25	0.222	HP:0003502	hp	65	Mild short stature	1	COL1A1,FN1,COL10A1,COL1A2
1	TRUE	7.71e-05	85	44	6	0.136	0.071	GO:0006029	BP	74	proteoglycan metabolic process	1	VCAN,COL11A1,SULF1,ADAMTS12,BGN,CHSY3
1	TRUE	0.000105	3	72	3	0.042	1	GO:0004720	MF	49	protein-lysine 6-oxidase activity	1	LOX,LOXL3,LOXL2
1	TRUE	0.00011	4	26	3	0.115	0.75	HP:0002010	hp	72	Narrow maxilla	1	COL1A1,COL5A1,COL5A2
1	TRUE	0.000179	134	17	5	0.294	0.037	GO:0002020	MF	11	protease binding	1	FAP,COL1A1,FN1,COL1A2,COL3A1
1	TRUE	0.00024	95	17	4	0.235	0.042	KEGG:05146	keg	22	Amoebiasis	1	COL1A1,FN1,COL1A2,COL3A1
1	TRUE	0.000254	199	79	8	0.101	0.04	KEGG:04510	keg	46	Focal adhesion	1	IBSP,COL1A1,FN1,SPP1,ITGA11,COL6A3,COL1A2,THBS2
1	TRUE	0.000273	19	26	4	0.154	0.211	HP:0100541	hp	1	Femoral hernia	1	ADAMTS2,COL1A1,COL5A1,COL5A2
1	TRUE	0.000285	19	57	4	0.07	0.211	REAC:R-HSA-3000480	rea	47	Scavenging by Class A Receptors	1	MSR1,COL1A1,COL1A2,COL3A1
1	TRUE	0.000419	21	26	4	0.154	0.19	HP:0000015	hp	12	Bladder diverticulum	1	COL1A1,COL5A1,COL3A1,COL5A2
1	TRUE	0.000512	22	26	4	0.154	0.182	HP:0002619	hp	25	Varicose veins	1	COL1A1,COL5A1,COL3A1,COL5A2
1	TRUE	0.000546	6	26	3	0.115	0.5	HP:0004937	hp	32	Pulmonary artery aneurysm	1	COL5A1,COL3A1,BGN
1	TRUE	0.000675	187	17	5	0.294	0.027	MIRNA:hsa-miR-767-5p	mir	44	hsa-miR-767-5p	1	LOX,SPARC,COL10A1,COL3A1,COL5A2
1	TRUE	0.000728	981	26	12	0.462	0.012	HP:0000925	hp	16	Abnormality of the vertebral column	1	COL11A1,ADAMTS2,COL1A1,LOX,SPARC,FN1,COL10A1,COL5A1,COL1A2,COL3A1,BGN,COL5A2
1	TRUE	0.00074	24	26	4	0.154	0.167	HP:0002107	hp	55	Pneumothorax	1	ADAMTS2,LOX,COL5A1,COL3A1
1	TRUE	0.000773	61	11	4	0.364	0.066	HP:0000260	hp	10	Wide anterior fontanel	1	COL11A1,ADAMTS2,COL1A1,COL1A2
1	TRUE	0.000954	7	26	3	0.115	0.429	HP:0000394	hp	43	Lop ear	1	COL1A1,COL5A1,COL5A2
